year,month number,month,temperature
1900,1,january,8.0
1900,2,february,10.5
1900,3,march,8.8
1900,4,april,13.1
1900,5,may,16.3
1900,6,june,20.8
1900,7,july,23.9
1900,8,august,22.1
1900,9,september,21.3
1900,10,october,16.6
1900,11,november,10.9
1900,12,december,9.7
1901,1,january,8.2
1901,2,february,4.8
1901,3,march,9.6
1901,4,april,12.5
1901,5,may,15.8
1901,6,june,20.7
1901,7,july,22.4
1901,8,august,22.3
1901,9,september,20.2
1901,10,october,14.0
1901,11,november,9.6
1901,12,december,6.7
1902,1,january,7.6
1902,2,february,8.7
1902,3,march,11.1
1902,4,april,12.8
1902,5,may,13.2
1902,6,june,17.3
1902,7,july,22.3
1902,8,august,21.3
1902,9,september,18.7
1902,10,october,14.5
1902,11,november,10.9
1902,12,december,7.6
1903,1,january,6.9
1903,2,february,8.4
1903,3,march,9.7
1903,4,april,11.1
1903,5,may,15.6
1903,6,june,18.7
1903,7,july,21.9
1903,8,august,22.4
1903,9,september,19.1
1903,10,october,16.6
1903,11,november,10.9
1903,12,december,7.1
1904,1,january,6.6
1904,2,february,9.0
1904,3,march,9.1
1904,4,april,13.4
1904,5,may,17.2
1904,6,june,20.0
1904,7,july,24.6
1904,8,august,23.7
1904,9,september,19.2
1904,10,october,15.7
1904,11,november,10.5
1904,12,december,8.8
1905,1,january,7.0
1905,2,february,7.6
1905,3,march,11.1
1905,4,april,13.8
1905,5,may,14.7
1905,6,june,19.9
1905,7,july,23.9
1905,8,august,22.7
1905,9,september,18.8
1905,10,october,13.0
1905,11,november,9.3
1905,12,december,7.5
1906,1,january,8.2
1906,2,february,7.2
1906,3,march,8.8
1906,4,april,10.7
1906,5,may,15.3
1906,6,june,20.3
1906,7,july,22.0
1906,8,august,23.7
1906,9,september,19.8
1906,10,october,16.3
1906,11,november,11.6
1906,12,december,7.4
1907,1,january,7.1
1907,2,february,7.2
1907,3,march,9.8
1907,4,april,11.7
1907,5,may,14.7
1907,6,june,18.5
1907,7,july,20.4
1907,8,august,22.4
1907,9,september,18.9
1907,10,october,14.2
1907,11,november,11.0
1907,12,december,9.3
1908,1,january,7.4
1908,2,february,7.9
1908,3,march,8.2
1908,4,april,10.3
1908,5,may,17.0
1908,6,june,19.2
1908,7,july,22.1
1908,8,august,22.0
1908,9,september,19.2
1908,10,october,15.8
1908,11,november,11.7
1908,12,december,8.6
1909,1,january,6.3
1909,2,february,5.7
1909,3,march,9.0
1909,4,april,12.3
1909,5,may,14.8
1909,6,june,17.4
1909,7,july,20.4
1909,8,august,22.0
1909,9,september,18.0
1909,10,october,16.4
1909,11,november,9.9
1909,12,december,9.5
1910,1,january,7.8
1910,2,february,8.9
1910,3,march,9.5
1910,4,april,11.2
1910,5,may,13.4
1910,6,june,19.7
1910,7,july,20.8
1910,8,august,21.8
1910,9,september,18.4
1910,10,october,15.8
1910,11,november,12.1
1910,12,december,9.7
1911,1,january,6.7
1911,2,february,9.1
1911,3,march,10.2
1911,4,april,12.0
1911,5,may,15.6
1911,6,june,19.1
1911,7,july,24.3
1911,8,august,25.3
1911,9,september,22.4
1911,10,october,16.3
1911,11,november,12.4
1911,12,december,10.8
1912,1,january,9.4
1912,2,february,10.7
1912,3,march,12.7
1912,4,april,12.2
1912,5,may,16.8
1912,6,june,18.7
1912,7,july,21.1
1912,8,august,20.6
1912,9,september,17.0
1912,10,october,14.0
1912,11,november,10.0
1912,12,december,8.7
1913,1,january,9.3
1913,2,february,8.6
1913,3,march,10.0
1913,4,april,10.1
1913,5,may,13.5
1913,6,june,16.2
1913,7,july,21.1
1913,8,august,22.1
1913,9,september,19.5
1913,10,october,16.7
1913,11,november,13.6
1913,12,december,9.0
1914,1,january,4.9
1914,2,february,10.2
1914,3,march,11.3
1914,4,april,13.5
1914,5,may,14.5
1914,6,june,17.9
1914,7,july,20.5
1914,8,august,21.2
1914,9,september,20.7
1914,10,october,14.9
1914,11,november,10.4
1914,12,december,9.0
1915,1,january,6.7
1915,2,february,7.6
1915,3,march,9.7
1915,4,april,10.8
1915,5,may,15.7
1915,6,june,19.7
1915,7,july,21.8
1915,8,august,21.7
1915,9,september,18.7
1915,10,october,13.8
1915,11,november,10.2
1915,12,december,10.0
1916,1,january,9.1
1916,2,february,7.9
1916,3,march,9.4
1916,4,april,12.1
1916,5,may,16.6
1916,6,june,18.1
1916,7,july,21.9
1916,8,august,23.6
1916,9,september,18.1
1916,10,october,15.8
1916,11,november,11.5
1916,12,december,9.1
1917,1,january,6.1
1917,2,february,7.0
1917,3,march,8.9
1917,4,april,10.5
1917,5,may,15.7
1917,6,june,20.2
1917,7,july,22.4
1917,8,august,21.1
1917,9,september,21.4
1917,10,october,14.7
1917,11,november,10.7
1917,12,december,5.0
1918,1,january,7.7
1918,2,february,9.0
1918,3,march,9.2
1918,4,april,10.6
1918,5,may,16.0
1918,6,june,18.6
1918,7,july,22.0
1918,8,august,22.4
1918,9,september,20.9
1918,10,october,13.0
1918,11,november,11.1
1918,12,december,10.3
1919,1,january,6.2
1919,2,february,8.9
1919,3,march,10.1
1919,4,april,11.4
1919,5,may,16.2
1919,6,june,20.4
1919,7,july,20.1
1919,8,august,24.3
1919,9,september,19.8
1919,10,october,12.5
1919,11,november,9.0
1919,12,december,8.5
1920,1,january,9.0
1920,2,february,9.9
1920,3,march,11.0
1920,4,april,13.3
1920,5,may,18.9
1920,6,june,20.6
1920,7,july,21.0
1920,8,august,21.3
1920,9,september,19.4
1920,10,october,15.6
1920,11,november,11.0
1920,12,december,7.6
1921,1,january,9.1
1921,2,february,8.1
1921,3,march,10.3
1921,4,april,11.5
1921,5,may,15.1
1921,6,june,20.4
1921,7,july,24.4
1921,8,august,22.2
1921,9,september,21.0
1921,10,october,18.5
1921,11,november,11.0
1921,12,december,8.9
1922,1,january,7.7
1922,2,february,9.8
1922,3,march,10.4
1922,4,april,12.4
1922,5,may,19.1
1922,6,june,19.4
1922,7,july,20.7
1922,8,august,22.8
1922,9,september,17.7
1922,10,october,15.0
1922,11,november,9.8
1922,12,december,7.5
1923,1,january,5.9
1923,2,february,10.1
1923,3,march,10.0
1923,4,april,11.3
1923,5,may,15.3
1923,6,june,17.6
1923,7,july,23.6
1923,8,august,25.1
1923,9,september,19.1
1923,10,october,17.8
1923,11,november,10.1
1923,12,december,7.3
1924,1,january,8.1
1924,2,february,5.6
1924,3,march,10.9
1924,4,april,13.5
1924,5,may,18.0
1924,6,june,20.5
1924,7,july,23.1
1924,8,august,20.5
1924,9,september,19.8
1924,10,october,15.7
1924,11,november,12.2
1924,12,december,8.9
1925,1,january,9.0
1925,2,february,8.2
1925,3,march,7.5
1925,4,april,12.0
1925,5,may,15.5
1925,6,june,21.1
1925,7,july,21.3
1925,8,august,22.6
1925,9,september,18.4
1925,10,october,16.2
1925,11,november,9.9
1925,12,december,8.0
1926,1,january,8.5
1926,2,february,11.6
1926,3,march,12.0
1926,4,april,13.4
1926,5,may,14.2
1926,6,june,18.7
1926,7,july,21.6
1926,8,august,22.8
1926,9,september,22.1
1926,10,october,17.1
1926,11,november,11.5
1926,12,december,7.0
1927,1,january,8.3
1927,2,february,8.9
1927,3,march,10.7
1927,4,april,14.4
1927,5,may,16.8
1927,6,june,19.9
1927,7,july,22.6
1927,8,august,23.2
1927,9,september,20.1
1927,10,october,16.3
1927,11,november,11.4
1927,12,december,8.6
1928,1,january,7.8
1928,2,february,10.2
1928,3,march,10.3
1928,4,april,12.0
1928,5,may,14.7
1928,6,june,20.4
1928,7,july,25.7
1928,8,august,25.4
1928,9,september,21.7
1928,10,october,16.5
1928,11,november,11.5
1928,12,december,7.7
1929,1,january,5.3
1929,2,february,7.3
1929,3,march,10.4
1929,4,april,11.9
1929,5,may,15.9
1929,6,june,21.4
1929,7,july,24.3
1929,8,august,21.9
1929,9,september,21.2
1929,10,october,16.0
1929,11,november,11.4
1929,12,december,10.3
1930,1,january,9.0
1930,2,february,6.3
1930,3,march,11.0
1930,4,april,12.3
1930,5,may,15.7
1930,6,june,20.7
1930,7,july,22.0
1930,8,august,22.5
1930,9,september,21.1
1930,10,october,17.1
1930,11,november,13.9
1930,12,december,9.1
1931,1,january,8.0
1931,2,february,7.3
1931,3,march,11.8
1931,4,april,12.7
1931,5,may,16.1
1931,6,june,22.7
1931,7,july,22.7
1931,8,august,22.2
1931,9,september,17.6
1931,10,october,15.6
1931,11,november,11.9
1931,12,december,7.0
1932,1,january,8.8
1932,2,february,5.0
1932,3,march,10.1
1932,4,april,11.0
1932,5,may,15.2
1932,6,june,18.0
1932,7,july,19.7
1932,8,august,23.6
1932,9,september,20.8
1932,10,october,15.5
1932,11,november,12.2
1932,12,december,10.0
1933,1,january,6.5
1933,2,february,8.8
1933,3,march,11.0
1933,4,april,14.3
1933,5,may,16.7
1933,6,june,16.7
1933,7,july,23.6
1933,8,august,25.3
1933,9,september,20.7
1933,10,october,16.6
1933,11,november,9.0
1933,12,december,5.6
1934,1,january,6.9
1934,2,february,8.2
1934,3,march,9.9
1934,4,april,12.1
1934,5,may,18.7
1934,6,june,21.5
1934,7,july,24.4
1934,8,august,21.4
1934,9,september,21.1
1934,10,october,16.9
1934,11,november,8.9
1934,12,december,10.9
1935,1,january,5.9
1935,2,february,8.5
1935,3,march,10.2
1935,4,april,13.0
1935,5,may,13.8
1935,6,june,21.1
1935,7,july,24.2
1935,8,august,22.4
1935,9,september,21.2
1935,10,october,14.6
1935,11,november,11.2
1935,12,december,8.8
1936,1,january,10.5
1936,2,february,9.6
1936,3,march,10.7
1936,4,april,12.4
1936,5,may,14.9
1936,6,june,18.4
1936,7,july,21.3
1936,8,august,22.7
1936,9,september,20.8
1936,10,october,13.7
1936,11,november,11.1
1936,12,december,7.5
1937,1,january,9.3
1937,2,february,11.4
1937,3,march,10.0
1937,4,april,13.2
1937,5,may,17.4
1937,6,june,20.9
1937,7,july,23.4
1937,8,august,24.4
1937,9,september,20.6
1937,10,october,15.3
1937,11,november,12.4
1937,12,december,7.1
1938,1,january,8.1
1938,2,february,7.8
1938,3,march,12.4
1938,4,april,12.4
1938,5,may,14.3
1938,6,june,21.1
1938,7,july,22.8
1938,8,august,22.3
1938,9,september,19.3
1938,10,october,16.5
1938,11,november,13.5
1938,12,december,8.1
1939,1,january,9.4
1939,2,february,9.5
1939,3,march,9.0
1939,4,april,12.7
1939,5,may,14.2
1939,6,june,18.4
1939,7,july,21.6
1939,8,august,22.0
1939,9,september,19.4
1939,10,october,15.4
1939,11,november,12.1
1939,12,december,8.0
1940,1,january,6.8
1940,2,february,10.2
1940,3,march,12.1
1940,4,april,13.1
1940,5,may,16.3
1940,6,june,19.1
1940,7,july,21.2
1940,8,august,22.1
1940,9,september,20.1
1940,10,october,14.5
1940,11,november,11.4
1940,12,december,5.9
1941,1,january,6.2
1941,2,february,8.6
1941,3,march,11.3
1941,4,april,11.9
1941,5,may,13.8
1941,6,june,19.8
1941,7,july,23.1
1941,8,august,21.1
1941,9,september,19.1
1941,10,october,15.0
1941,11,november,10.3
1941,12,december,7.1
1942,1,january,6.1
1942,2,february,5.7
1942,3,march,11.7
1942,4,april,12.8
1942,5,may,16.5
1942,6,june,21.1
1942,7,july,22.4
1942,8,august,21.9
1942,9,september,20.4
1942,10,october,18.2
1942,11,november,10.8
1942,12,december,8.7
1943,1,january,9.5
1943,2,february,9.2
1943,3,march,11.3
1943,4,april,14.3
1943,5,may,18.1
1943,6,june,21.7
1943,7,july,23.2
1943,8,august,23.6
1943,9,september,20.8
1943,10,october,16.5
1943,11,november,9.4
1943,12,december,7.9
1944,1,january,9.5
1944,2,february,5.8
1944,3,march,9.4
1944,4,april,14.3
1944,5,may,17.0
1944,6,june,20.0
1944,7,july,22.5
1944,8,august,24.3
1944,9,september,20.0
1944,10,october,13.6
1944,11,november,11.5
1944,12,december,7.3
1945,1,january,4.3
1945,2,february,10.6
1945,3,march,10.9
1945,4,april,15.3
1945,5,may,17.5
1945,6,june,22.3
1945,7,july,24.1
1945,8,august,21.9
1945,9,september,21.0
1945,10,october,17.2
1945,11,november,11.4
1945,12,december,8.9
1946,1,january,6.6
1946,2,february,9.6
1946,3,march,9.4
1946,4,april,12.8
1946,5,may,15.0
1946,6,june,18.8
1946,7,july,23.5
1946,8,august,22.4
1946,9,september,21.4
1946,10,october,16.7
1946,11,november,10.9
1946,12,december,6.5
1947,1,january,6.5
1947,2,february,8.1
1947,3,march,12.2
1947,4,april,14.5
1947,5,may,16.9
1947,6,june,22.3
1947,7,july,25.1
1947,8,august,24.9
1947,9,september,20.8
1947,10,october,16.8
1947,11,november,14.4
1947,12,december,7.5
1948,1,january,9.4
1948,2,february,9.1
1948,3,march,13.1
1948,4,april,13.4
1948,5,may,16.3
1948,6,june,20.3
1948,7,july,21.0
1948,8,august,23.4
1948,9,september,20.3
1948,10,october,16.6
1948,11,november,14.0
1948,12,december,10.3
1949,1,january,8.6
1949,2,february,10.4
1949,3,march,9.7
1949,4,april,15.1
1949,5,may,14.8
1949,6,june,20.9
1949,7,july,25.6
1949,8,august,24.0
1949,9,september,22.6
1949,10,october,17.7
1949,11,november,11.7
1949,12,december,9.1
1950,1,january,8.4
1950,2,february,10.1
1950,3,march,11.4
1950,4,april,11.5
1950,5,may,16.6
1950,6,june,22.2
1950,7,july,25.6
1950,8,august,22.9
1950,9,september,20.6
1950,10,october,17.1
1950,11,november,13.1
1950,12,december,5.9
1951,1,january,8.1
1951,2,february,8.2
1951,3,march,9.9
1951,4,april,11.5
1951,5,may,14.2
1951,6,june,20.1
1951,7,july,22.6
1951,8,august,21.6
1951,9,september,20.1
1951,10,october,14.4
1951,11,november,11.6
1951,12,december,9.5
1952,1,january,5.7
1952,2,february,7.6
1952,3,march,12.3
1952,4,april,13.5
1952,5,may,17.8
1952,6,june,22.5
1952,7,july,24.3
1952,8,august,23.6
1952,9,september,18.7
1952,10,october,16.6
1952,11,november,10.9
1952,12,december,8.3
1953,1,january,6.7
1953,2,february,7.1
1953,3,march,10.0
1953,4,april,13.3
1953,5,may,18.7
1953,6,june,18.5
1953,7,july,21.9
1953,8,august,23.0
1953,9,september,20.7
1953,10,october,16.1
1953,11,november,12.8
1953,12,december,11.2
1954,1,january,6.1
1954,2,february,6.8
1954,3,march,10.7
1954,4,april,11.4
1954,5,may,15.0
1954,6,june,19.6
1954,7,july,20.6
1954,8,august,21.5
1954,9,september,20.2
1954,10,october,17.4
1954,11,november,13.3
1954,12,december,10.0
1955,1,january,10.6
1955,2,february,8.6
1955,3,march,9.7
1955,4,april,13.8
1955,5,may,16.8
1955,6,june,19.6
1955,7,july,23.4
1955,8,august,22.8
1955,9,september,19.8
1955,10,october,15.3
1955,11,november,11.3
1955,12,december,10.6
1956,1,january,8.9
1956,2,february,2.5
1956,3,march,10.4
1956,4,april,11.2
1956,5,may,17.0
1956,6,june,17.7
1956,7,july,22.4
1956,8,august,22.0
1956,9,september,21.0
1956,10,october,15.0
1956,11,november,9.1
1956,12,december,8.1
1957,1,january,7.3
1957,2,february,11.0
1957,3,march,12.2
1957,4,april,12.4
1957,5,may,14.1
1957,6,june,18.5
1957,7,july,22.0
1957,8,august,21.9
1957,9,september,20.2
1957,10,october,15.1
1957,11,november,10.8
1957,12,december,7.8
1958,1,january,7.3
1958,2,february,10.5
1958,3,march,10.3
1958,4,april,11.1
1958,5,may,17.3
1958,6,june,19.4
1958,7,july,22.0
1958,8,august,22.8
1958,9,september,21.7
1958,10,october,15.9
1958,11,november,11.6
1958,12,december,9.6
1959,1,january,8.2
1959,2,february,9.5
1959,3,march,11.4
1959,4,april,13.4
1959,5,may,15.9
1959,6,june,19.8
1959,7,july,24.0
1959,8,august,22.5
1959,9,september,19.3
1959,10,october,14.9
1959,11,november,10.5
1959,12,december,8.9
1960,1,january,8.1
1960,2,february,9.6
1960,3,march,11.2
1960,4,april,12.9
1960,5,may,18.1
1960,6,june,20.8
1960,7,july,21.2
1960,8,august,22.0
1960,9,september,18.4
1960,10,october,14.1
1960,11,november,11.6
